name;regional_level;population_total;Sex_1;Sex_2;citizenship_1;citizenship_2;age_bracket_01;age_bracket_02;age_bracket_03;age_bracket_04;age_bracket_05;age_bracket_06;age_bracket_07;age_bracket_08;age_bracket_09;age_bracket_10;age_bracket_11;marital_status_1;marital_status_2;marital_status_3;marital_status_4;marital_status_5;migration_background_2;migration_background_21;migration_background_22;migration_background_3;migration_background_1
Deutschland;Bund;82719540;40674034;42045507;71806193;10913347;2295609;2390643;3072412;4527350;2281984;5170473;15614208;22926935;8158389;7118108;9163427;34765559;35181395;5687099;6355348;730137;18142064;15589690;2552372;1438808;63138669
Schleswig-Holstein;Land;2927542;1428581;1498962;2668988;258555;75193;80399;105410;161651;83418;179361;506327;830350;289147;259827;356457;1197086;1244415;209157;249151;27732;473967;408796;65167;36864;2416709
Flensburg, Stadt;Stadtkreis/kreisfreie Stadt/Landkreis;95015;46834;48181;80294;14722;2587;2554;3149;4814;2444;9427;21279;23801;7872;7234;9855;47754;31308;5749;8709;1494;23516;20388;3131;1242;70262
Flensburg, Stadt;Gemeinde;95015;46834;48181;80294;14722;2587;2554;3149;4814;2444;9427;21279;23801;7872;7234;9855;47754;31308;5749;8709;1494;23516;20388;3131;1242;70262
Kiel, Landeshauptstadt;Stadtkreis/kreisfreie Stadt/Landkreis;249132;121818;127313;218560;30577;6698;6492;8294;11987;6175;24055;59979;62342;20353;18002;24749;130983;79206;14056;21361;3534;55074;46214;8858;3494;190565
Kiel, Landeshauptstadt;Gemeinde;249132;121818;127313;218560;30577;6698;6492;8294;11987;6175;24055;59979;62342;20353;18002;24749;130983;79206;14056;21361;3534;55074;46214;8858;3494;190565
Lübeck, Hansestadt;Stadtkreis/kreisfreie Stadt/Landkreis;215958;103625;112333;191444;24516;5172;5471;7189;10974;5570;15278;42848;58060;19967;18294;27129;97929;79492;15852;20985;1702;43655;37786;5868;3220;169083
Lübeck, Hansestadt;Gemeinde;215958;103625;112333;191444;24516;5172;5471;7189;10974;5570;15278;42848;58060;19967;18294;27129;97929;79492;15852;20985;1702;43655;37786;5868;3220;169083
Neumünster, Stadt;Stadtkreis/kreisfreie Stadt/Landkreis;79625;39465;40159;70138;9486;2062;2049;2747;4475;2367;5560;14688;21796;7550;6800;9528;34009;31519;5928;7679;487;16885;14351;2538;1238;61500
Neumünster, Stadt;Gemeinde;79625;39465;40159;70138;9486;2062;2049;2747;4475;2367;5560;14688;21796;7550;6800;9528;34009;31519;5928;7679;487;16885;14351;2538;1238;61500
Dithmarschen;Stadtkreis/kreisfreie Stadt/Landkreis;132810;65331;67482;123881;8928;3184;3394;4517;7227;3884;8062;21154;36715;14440;13492;16741;51537;57958;10837;11387;1091;15646;13562;2080;900;116267
Brunsbüttel, Stadt;Gemeinde;12573;6312;6262;11419;1154;300;318;421;698;347;682;1953;3467;1423;1338;1632;4581;5567;1092;1131;199;2155;1812;341;98;10322
Heide, Stadt;Gemeinde;21487;10416;11073;19013;2474;483;577;683;1107;614;1894;4010;5417;2036;1958;2702;9827;7638;1640;2148;236;4369;3611;760;174;16944
Burg-St. Michaelisdonn;Gemeindeverband;15712;7784;7932;15248;464;398;382;520;832;469;872;2454;4486;1752;1581;1972;5782;7320;1249;1311;51;1163;1006;154;93;14463
Averlak;Gemeinde;568;290;278;553;15;4;9;15;22;17;36;86;192;91;53;41;195;283;40;45;3;29;29;–;6;530
Brickeln;Gemeinde;191;102;90;188;5;3;3;7;10;7;16;25;73;11;15;21;69;86;12;25;–;9;9;–;–;183
Buchholz;Gemeinde;1001;511;491;980;22;19;29;28;62;41;67;171;289;100;98;94;431;420;72;73;–;45;40;3;8;953
Burg (Dithmarschen);Gemeinde;4150;2025;2125;3994;156;96;102;135;215;104;205;631;1040;458;496;659;1501;1838;396;406;7;412;352;57;34;3701
Dingen;Gemeinde;648;330;318;635;13;24;23;17;36;24;30;129;173;81;45;66;238;324;40;37;3;34;34;3;8;609
Eddelak;Gemeinde;1330;668;663;1290;41;32;32;59;65;47;82;215;435;132;105;130;504;654;75;93;–;77;64;14;3;1248
Eggstedt;Gemeinde;761;397;369;742;19;17;14;24;31;14;54;111;253;82;64;94;274;374;53;54;9;47;47;–;3;713
Frestedt;Gemeinde;337;173;164;334;3;8;7;4;12;12;21;47;120;38;29;45;116;170;19;30;–;6;6;–;3;325
Großenrade;Gemeinde;482;250;229;473;10;16;10;17;34;14;30;60;160;49;44;56;189;216;39;33;3;26;23;5;–;454
Hochdonn;Gemeinde;1124;546;580;1111;13;22;20;32;57;36;61;166;353;133;108;130;403;548;88;85;–;51;43;10;3;1069
Kuden;Gemeinde;622;318;306;612;12;24;13;24;49;17;25;100;181;78;49;64;221;302;35;59;8;31;29;3;8;589
Quickborn;Gemeinde;188;85;104;172;11;6;6;5;10;6;6;27;60;32;12;24;60;94;18;12;–;14;14;–;–;176
Sankt Michaelisdonn;Gemeinde;3539;1724;1814;3403;134;97;86;114;179;102;199;558;931;391;391;486;1258;1642;303;327;8;341;279;64;12;3184
Süderhastedt;Gemeinde;771;364;409;757;13;22;29;39;48;27;42;121;228;72;72;60;314;365;51;34;4;38;36;4;7;727
Marne-Nordsee;Gemeindeverband;12848;6330;6517;12046;802;285;350;458;659;388;759;1980;3546;1453;1375;1592;4716;5966;1074;993;96;1330;1205;123;66;11448
Diekhusen-Fahrstedt;Gemeinde;675;325;349;667;12;14;16;24;49;18;39;103;223;84;58;46;252;332;40;50;–;37;31;4;–;635
Friedrichskoog;Gemeinde;2403;1200;1203;2242;160;32;51;53;104;74;109;305;679;307;357;323;751;1244;216;172;19;234;224;9;15;2156
Helse;Gemeinde;800;408;389;787;10;17;21;25;41;28;54;106;245;97;77;84;289;437;37;33;–;49;43;3;3;750
Kaiser-Wilhelm-Koog;Gemeinde;356;187;169;310;46;5;13;15;24;10;23;62;122;36;27;16;158;160;12;26;–;55;55;–;3;300
Kronprinzenkoog;Gemeinde;833;422;410;781;55;22;24;35;35;29;51;130;256;98;79;73;294;419;46;67;8;65;65;4;3;761
Marne, Stadt;Gemeinde;5766;2752;3012;5328;437;147;162;203;276;165;383;960;1452;589;558;869;2216;2383;597;513;61;737;652;84;28;5001
Marnerdeich;Gemeinde;395;209;186;380;15;14;21;14;30;13;16;64;105;44;55;24;150;200;21;22;3;34;31;5;4;354
Neufeld;Gemeinde;613;298;314;577;38;14;17;37;43;15;36;93;179;78;58;49;222;310;39;40;3;53;49;5;4;557
Neufelderkoog;Gemeinde;116;56;54;108;9;–;3;5;4;10;5;11;40;9;16;18;38;66;6;5;3;7;7;–;–;105
Ramhusen;Gemeinde;160;79;81;159;3;5;8;12;7;3;7;31;45;25;11;8;65;76;6;12;–;5;4;–;–;155
Schmedeswurth;Gemeinde;174;85;88;165;8;–;9;11;9;3;8;32;42;16;18;20;71;80;14;9;5;15;15;–;–;163
Trennewurth;Gemeinde;229;119;109;229;4;4;6;6;14;5;11;26;76;35;20;30;75;115;19;17;–;12;12;–;5;212
Volsemenhusen;Gemeinde;328;178;150;324;4;8;7;18;20;17;21;51;88;30;38;29;135;145;22;30;3;28;22;3;4;297
Eider;Gemeindeverband;18901;9526;9372;18217;682;489;510;658;1086;570;1016;2979;5406;2026;1868;2296;7288;8387;1498;1601;129;1161;1058;103;91;17649
Barkenholm;Gemeinde;177;96;80;172;4;7;3;3;8;–;8;23;55;19;22;27;62;79;12;23;4;8;8;–;–;168
Bergewöhrden;Gemeinde;35;17;18;34;–;–;–;–;3;–;4;3;11;3;5;5;13;18;–;5;–;–;–;–;–;34
Dellstedt;Gemeinde;718;380;339;707;13;12;15;27;44;28;38;116;201;80;74;85;310;306;60;43;–;24;24;–;–;696
Delve;Gemeinde;760;391;369;749;11;18;13;18;47;22;44;84;220;106;75;114;274;358;45;78;–;24;22;–;–;734
Dörpling;Gemeinde;637;321;316;628;9;13;13;23;48;32;37;93;192;62;60;65;264;260;51;60;4;18;19;–;3;615
Fedderingen;Gemeinde;265;140;128;262;4;3;3;7;15;9;20;38;90;31;21;26;103;126;16;18;3;13;11;–;–;252
Gaushorn;Gemeinde;175;95;82;170;–;5;6;4;8;3;6;23;58;21;15;18;71;72;13;21;–;15;13;3;–;161
Glüsing;Gemeinde;107;53;52;98;13;3;–;4;6;–;9;13;28;12;17;13;32;59;12;7;–;13;10;–;3;91
Groven;Gemeinde;90;56;31;84;9;–;–;3;10;5;10;8;24;5;8;14;45;35;8;–;7;10;10;–;–;80
Hemme;Gemeinde;499;262;236;461;42;12;11;20;44;10;19;77;160;41;42;54;202;217;51;31;3;56;49;9;5;438
Hennstedt;Gemeinde;2071;1020;1051;1992;79;53;55;68;109;70;134;311;543;209;226;286;785;893;191;182;23;135;121;11;8;1928
Hövede;Gemeinde;64;32;32;59;4;–;–;4;3;–;4;12;13;7;7;8;29;32;3;–;–;7;7;–;4;52
Hollingstedt;Gemeinde;304;153;147;296;7;6;13;12;14;12;16;33;104;35;24;39;116;135;22;28;3;19;14;3;3;284
