# runtimes of two algorithms on problems of varying size, and with different number of threads
# algo: single or distributed algorithm
# size: problem size
# time1 to time5: runtime in seconds for different number of threads
algo,size,time1,time2,time3,time4,time5
distributed,4096,3.736606470743815,2.133074198828804,1.6734406895107694,1.515788353814019,1.475265449947781
distributed,16384,14.792793687184652,7.894031026628283,5.681170802646213,4.597697088453505,3.9882860660552977
distributed,65536,59.12334657775031,30.76248647901747,21.43660822974311,16.510128508673773,13.63774046897888
distributed,262144,240.7474482483334,124.44867862065634,85.38409444491069,64.7323694229126,53.54423254860773
distributed,1048576,1097.7883522351583,567.0381718158721,383.5636172771454,290.18287703196205,242.4944975905948
distributed,4194304,4845.007061391407,2501.408669482337,1673.959357351727,1269.887091917462,1072.3781368520524
single,4096,3.6226933683667855,,,,
single,16384,26.792361004011973,,,,
single,65536,127.812326499394,,,,
single,262144,281.99478266920363,,,,
